Population Share,Free Market,Welfare Society,Egalitarian Utopia
0.174,0.003325183782004809,0.03670618445260744,0.0929054646571792
0.175,0.0033444129914562463,0.036990658274845226,0.09357016422904796
0.176,0.0033636439321000056,0.037275425425999924,0.09423487126821793
0.177,0.003382875846933439,0.03756025512787027,0.09490065334430837
0.178,0.0034021080528577083,0.03784581205533844,0.09556701725749174
0.179,0.0034213413651662007,0.03813149072152505,0.09623771797472584
0.18,0.0034405756017287245,0.038417330016802594,0.09690966236989909
0.181,0.0034598103048321,0.038703866660422664,0.09758171868690493
0.182,0.0034790450849745075,0.0389911153997485,0.09825526215843318
0.183,0.0034982815413621784,0.039280835386557036,0.09893392748645817
0.184,0.003517519867008501,0.03957059130926753,0.09961529483586658
0.185,0.00353676011154235,0.039861463917463,0.10029706836441836
0.186,0.0035560012393996347,0.04015240486567473,0.10098046010148516
0.187,0.0035752441508321337,0.040444415000180645,0.10166396596243356
0.188,0.003594487628890979,0.04073715395367219,0.1023494617657017
0.189,0.0036137316339592595,0.041030126866307116,0.10303547824594295
0.19,0.0036329788625985493,0.04132384025164975,0.10372425362509737
0.191,0.003652227347568975,0.041617766966678675,0.10441308873183501
0.192,0.003671476003112457,0.04191401858141693,0.1051031520050026
0.193,0.0036907272426101737,0.04221188861296842,0.10579346100955163
0.194,0.003709979911630981,0.042510491427250295,0.10648585289870653
0.195,0.0037292342667344957,0.042810702808189514,0.10717861301086762
0.196,0.003748488834524675,0.043112456746758544,0.10787184289442107
0.197,0.0037677442085625483,0.04341433925800751,0.10856611475665259
0.198,0.0037870005120960682,0.043716342224328714,0.10926261055873138
0.199,0.0038062581618256873,0.04402046639464281,0.10996025419732147
0.2,0.003825516328286905,0.04432610512756097,0.11065946023964392
0.201,0.0038447751343804377,0.04463264294485494,0.11135935530224635
0.202,0.0038640354894313887,0.044939321991079945,0.11206171001437697
0.203,0.0038832961617419354,0.045246635320446864,0.11276514641593631
0.204,0.0039025573768376007,0.04555396332225522,0.11346919821756
0.205,0.0039218207075738375,0.045861850672143115,0.1141740983809803
0.206,0.003941086938073278,0.04616994826247976,0.11487943142206933
0.207,0.0039603540690123845,0.04647848046490947,0.11558596633810667
0.208,0.003979621966432407,0.04678721200527701,0.11629305276953654
0.209,0.003998893706278434,0.04709686223948231,0.11700053969355571
0.21,0.00401816722274013,0.04740891559166693,0.11770814450829582
0.211,0.004037440833370754,0.04772170291409799,0.11841677328096632
0.212,0.004056715796665067,0.04803579662150288,0.11912596833652896
0.213,0.004075992077598128,0.04835166020199298,0.11983548125869864
0.214,0.00409526900011739,0.04866792448684795,0.1205460284087964
0.215,0.004114545956832152,0.04898534928491339,0.12125680544363633
0.216,0.0041338234876691455,0.04930301282290561,0.12196834690085713
0.217,0.0041531019960683304,0.04962305782617558,0.12268000491981917
0.218,0.004172380729439456,0.049943192459845645,0.12339426282178036
0.219,0.004191662119719925,0.05026515096441323,0.12410868187357865
0.22,0.004210943728101504,0.05058826417882442,0.12482368842847497
0.221,0.004230228318906447,0.05091245195251069,0.12553879398610315
0.222,0.004249514848162873,0.05123664795752632,0.12625478793697972
0.223,0.004268801724136639,0.0515616542320985,0.1269717927178169
0.224,0.00428809100689793,0.05188702535978508,0.1276889593687067
0.225,0.004307380532738742,0.05221714594738522,0.12840720606060796
0.226,0.004326671866116431,0.052547561999547514,0.1291254770235651
0.227,0.004345965205288231,0.05287801486989695,0.12984394907870767
0.228,0.004365259447534388,0.05320951261970218,0.13056341933521637
0.229,0.00438455517273873,0.05354115885210203,0.13128514397837363
0.23,0.004403850964423028,0.05387430104139822,0.13200737377049107
0.231,0.004423146908866882,0.05420859641439247,0.1327304930991066
0.232,0.0044424435816086605,0.054546632561534775,0.1334558441015578
0.233,0.00446174203484345,0.05488494462265815,0.13418141545194862
0.234,0.004481040489726363,0.05522379442649346,0.1349071054554702
0.235,0.004500338986265915,0.05556266877969849,0.13563279717279608
0.236,0.004519639316771903,0.055902780059661296,0.13635886347209547
0.237,0.004538940021419777,0.05624375472742562,0.13708505079859684
0.238,0.004558244125692963,0.05658553387538043,0.13781128062437975
0.239,0.004577548441869745,0.056928046021585944,0.1385375152352472
0.24,0.004596853454872944,0.05727072962116571,0.13926420842779932
0.241,0.00461615852199988,0.057613420539761595,0.13999258277401
0.242,0.004635464462562698,0.0579576588593275,0.1407218809937705
0.243,0.0046547748128385035,0.05830414531955554,0.14145164728614393
0.244,0.0046740917471048285,0.058650648582415095,0.14218158131466804
0.245,0.004693410674675889,0.058997972959297665,0.14291206852592028
0.246,0.004712729887575571,0.05934597754852027,0.1436427088478382
0.247,0.004732050645317056,0.05969521199182564,0.1443735078547702
0.248,0.004751372234618419,0.06004701511122345,0.14510544890953453
0.249,0.004770695734972712,0.06040103023829969,0.14583782842740023
0.25,0.004790020242317459,0.06076002866141966,0.1465708408287629
0.251,0.004809345611822189,0.061119351795561556,0.1473040201294475
0.252,0.00482867153583209,0.061479447521707406,0.14803749131232433
0.253,0.004847997797390568,0.06184005488158065,0.14877173375329752
0.254,0.004867326927717567,0.06220086518901254,0.14950605250121216
